industry,year,compliance_rate_pct,event_count,displayed_in_heatmap
Manufacturing,2019,63.6,11,True
Manufacturing,2020,41.4,29,True
Manufacturing,2021,66.7,3,True
Manufacturing,2022,62.5,8,True
Manufacturing,2023,39.1,23,True
Manufacturing,2024,73.1,26,True
Manufacturing,2025,38.5,13,True
Energy,2019,75.0,8,True
Energy,2020,26.4,53,True
Energy,2021,87.5,8,True
Energy,2022,,2,False
Energy,2023,35.7,14,True
Energy,2024,46.7,15,True
Energy,2025,70.0,10,True
Technology_IT,2019,50.0,10,True
Technology_IT,2020,66.7,9,True
Technology_IT,2021,80.0,10,True
Technology_IT,2022,40.0,10,True
Technology_IT,2023,53.3,15,True
Technology_IT,2024,26.1,23,True
Technology_IT,2025,63.3,30,True
Logistics_Transportation,2019,55.0,20,True
Logistics_Transportation,2020,43.3,30,True
Logistics_Transportation,2021,18.2,22,True
Logistics_Transportation,2022,25.0,8,True
Logistics_Transportation,2023,31.2,16,True
Logistics_Transportation,2024,53.8,13,True
Logistics_Transportation,2025,57.1,21,True
Healthcare,2019,35.7,14,True
Healthcare,2020,21.4,56,True
Healthcare,2021,46.7,15,True
Healthcare,2022,100.0,4,True
Healthcare,2023,26.7,15,True
Healthcare,2024,21.1,19,True
Healthcare,2025,50.0,8,True
Finance,2019,,2,False
Finance,2020,0.0,6,True
Finance,2021,,1,False
Finance,2022,50.0,6,True
Finance,2023,,0,False
Finance,2024,,1,False
Finance,2025,66.7,3,True
Construction_Real_Estate,2019,,0,False
Construction_Real_Estate,2020,36.8,19,True
Construction_Real_Estate,2021,,1,False
Construction_Real_Estate,2022,,1,False
Construction_Real_Estate,2023,,2,False
Construction_Real_Estate,2024,60.0,5,True
Construction_Real_Estate,2025,40.0,5,True
Public_Nonprofit,2019,,1,False
Public_Nonprofit,2020,36.4,11,True
Public_Nonprofit,2021,40.0,5,True
Public_Nonprofit,2022,,2,False
Public_Nonprofit,2023,55.6,9,True
Public_Nonprofit,2024,20.0,5,True
Public_Nonprofit,2025,41.8,67,True
Retail_Food,2019,75.0,8,True
Retail_Food,2020,12.1,173,True
Retail_Food,2021,33.3,3,True
Retail_Food,2022,50.0,4,True
Retail_Food,2023,10.0,30,True
Retail_Food,2024,25.0,16,True
Retail_Food,2025,58.3,12,True
Staffing_Services,2019,100.0,8,True
Staffing_Services,2020,0.0,19,True
Staffing_Services,2021,33.3,3,True
Staffing_Services,2022,16.7,12,True
Staffing_Services,2023,0.0,19,True
Staffing_Services,2024,26.7,15,True
Staffing_Services,2025,0.0,8,True
