notice_quarter,valid_event_count,compliance_rate_pct,moving_avg_4q_pct,above_2x_mean_filings,mean_filings_per_quarter
2019Q1,41,65.9,,False,53.2
2019Q2,33,69.7,,False,53.2
2019Q3,33,54.5,63.7,False,53.2
2019Q4,34,64.7,50.6,False,53.2
2020Q1,264,13.3,36.8,True,53.2
2020Q2,137,14.6,33.1,True,53.2
2020Q3,73,39.7,27.3,False,53.2
2020Q4,89,41.6,37.2,False,53.2
2021Q1,34,52.9,48.2,False,53.2
2021Q2,29,58.6,53.4,False,53.2
2021Q3,28,60.7,51.4,False,53.2
2021Q4,12,33.3,47.2,False,53.2
2022Q1,11,36.4,35.7,False,53.2
2022Q2,8,12.5,33.0,False,53.2
2022Q3,28,50.0,40.6,False,53.2
2022Q4,30,63.3,43.9,False,53.2
2023Q1,42,50.0,50.3,False,53.2
2023Q2,37,37.8,41.7,False,53.2
2023Q3,57,15.8,31.9,False,53.2
2023Q4,54,24.1,28.9,False,53.2
2024Q1,37,37.8,30.2,False,53.2
2024Q2,44,43.2,32.4,False,53.2
2024Q3,65,24.6,40.2,False,53.2
2024Q4,40,55.0,38.8,False,53.2
2025Q1,40,32.5,37.5,False,53.2
2025Q2,58,37.9,48.6,False,53.2
2025Q3,80,68.8,43.1,False,53.2
2025Q4,51,33.3,,False,53.2
