WDA_NAME,valid_events,compliance_rate_pct,avg_lead_days,median_lead_days,avg_layoff_size,median_layoff_size,total_layoffs,retroactive_events,total_filings,retroactive_pct,industry_diversity_index
North Central Texas WDA,135,47.4,45.7,59.0,97.1,64.0,13105,49,185,26.5,0.833
Panhandle WDA,15,40.0,47.5,55.0,366.6,113.0,5499,7,22,31.8,0.818
South East Texas WDA,20,40.0,43.8,55.0,71.3,58.5,1426,7,27,25.9,0.81
South Texas WDA,10,40.0,48.2,59.0,102.2,56.0,1022,7,17,41.2,0.66
Gulf Coast WDA,341,39.9,38.6,45.0,93.0,56.0,31526,264,608,43.4,0.864
Dallas County WDA,219,39.3,46.0,56.0,97.6,63.0,21364,105,325,32.3,0.806
East Texas WDA,28,39.3,44.6,58.0,104.3,88.0,2920,11,39,28.2,0.801
Cameron County WDA,30,36.7,41.1,57.0,96.3,69.0,2888,8,38,21.1,0.747
Concho Valley WDA,11,36.4,44.4,50.0,41.7,36.0,459,5,16,31.2,0.694
Alamo WDA,145,35.2,42.6,55.0,118.8,67.0,17219,92,238,38.7,0.831
Capital Area WDA,117,35.0,40.6,54.0,112.5,69.0,13164,49,166,29.5,0.78
Tarrant County WDA,152,33.6,42.8,47.5,89.1,56.0,13542,58,213,27.2,0.851
North East Texas WDA,18,33.3,42.6,59.0,161.9,109.0,2915,3,21,14.3,0.796
Lower Rio Grande Valley WDA,24,33.3,41.5,57.5,96.4,68.5,2313,14,38,36.8,0.747
Permian Basin WDA,55,25.5,27.1,10.0,79.4,50.0,4367,28,83,33.7,0.588
Middle Rio Grande WDA,12,25.0,39.4,59.0,56.2,24.0,674,3,15,20.0,0.681
Rural Capital WDA,43,23.3,39.8,49.0,58.9,52.0,2534,24,67,35.8,0.823
Borderplexjobs WDA,35,22.9,31.4,34.0,81.1,64.0,2838,16,51,31.4,0.74
Heart of Texas WDA,21,19.0,36.4,47.0,127.5,81.0,2677,13,34,38.2,0.816
South Plains WDA,17,17.6,32.4,50.0,66.5,31.0,1131,12,29,41.4,0.754
Coastal Bend WDA,19,15.8,36.8,54.0,62.4,65.0,1185,7,26,26.9,0.848
