WDA_NAME,compliance_rate_pct,avg_layoff_size,valid_events,industry_diversity_index
North Central Texas WDA,47.4,97.1,135,0.833
Panhandle WDA,40.0,366.6,15,0.818
South East Texas WDA,40.0,71.3,20,0.81
South Texas WDA,40.0,102.2,10,0.66
Gulf Coast WDA,39.9,93.0,341,0.864
Dallas County WDA,39.3,97.6,219,0.806
East Texas WDA,39.3,104.3,28,0.801
Cameron County WDA,36.7,96.3,30,0.747
Concho Valley WDA,36.4,41.7,11,0.694
Alamo WDA,35.2,118.8,145,0.831
Capital Area WDA,35.0,112.5,117,0.78
Tarrant County WDA,33.6,89.1,152,0.851
North East Texas WDA,33.3,161.9,18,0.796
Lower Rio Grande Valley WDA,33.3,96.4,24,0.747
Permian Basin WDA,25.5,79.4,55,0.588
Middle Rio Grande WDA,25.0,56.2,12,0.681
Rural Capital WDA,23.3,58.9,43,0.823
Borderplexjobs WDA,22.9,81.1,35,0.74
Heart of Texas WDA,19.0,127.5,21,0.816
South Plains WDA,17.6,66.5,17,0.754
Coastal Bend WDA,15.8,62.4,19,0.848
