company_normalized,total_events,valid_events,total_layoffs,avg_lead_days,compliance_rate_pct,industry,first_filing_year,last_filing_year,span_years
DAVID S BRIDAL,24,24,731,0.0,0.0,Retail_Food,2023,2023,0
CHILD CARE ASSOCIATES,15,15,302,37.3,0.0,Public_Nonprofit,2025,2025,0
SOUTHWEST KEY PROGRAMS,15,15,1300,61.1,93.3,Public_Nonprofit,2025,2025,0
MANAGEMENT TRAINING CORPORATION,13,13,897,60.5,53.8,Public_Nonprofit,2023,2025,2
CYGNUS HOME SERVICES,10,10,76,40.0,0.0,Staffing_Services,2023,2023,0
99 CENTS ONLY STORE,9,3,180,0.0,0.0,Retail_Food,2024,2024,0
FIREBIRD BULK CARRIERS,7,7,74,59.4,57.1,Logistics_Transportation,2025,2025,0
XTO ENERGY,7,7,120,59.3,42.9,Energy,2023,2023,0
AHERN RENTALS,7,6,32,2.0,0.0,Construction_Real_Estate,2020,2020,0
ADVANCED AUTO PARTS,7,7,67,84.0,100.0,Manufacturing,2024,2024,0
EXXON MOBIL,6,6,38,54.3,16.7,Energy,2024,2024,0
INTERNATIONAL PAPER COMPANY,6,3,269,53.0,0.0,Manufacturing,2025,2025,0
SOUTHWEST,6,6,1227,84.8,100.0,Logistics_Transportation,2020,2025,5
SODEXO,6,4,906,49.8,50.0,Staffing_Services,2019,2025,6
TURNER INDUSTRIES,6,6,1231,55.2,66.7,Construction_Real_Estate,2020,2025,5
AMERICAN AIRLINES,5,2,2811,55.0,0.0,Logistics_Transportation,2021,2021,0
ABM TEXAS,5,5,115,23.0,0.0,Staffing_Services,2024,2024,0
JOB1 USA,5,5,112,20.0,0.0,Staffing_Services,2025,2025,0
EXPEDIA GROUP,5,5,421,60.8,60.0,Technology_IT,2020,2026,6
JC PENNEY,4,4,1246,64.8,50.0,Retail_Food,2020,2025,5
HILTON,4,2,329,5.5,0.0,Retail_Food,2020,2021,1
CYGNUS HOME SERVICE,4,4,33,50.0,0.0,Staffing_Services,2023,2023,0
CONCENTRIX CVG,4,4,861,76.8,100.0,Unknown,2019,2021,2
ALAMO DRAFTHOUSE,4,2,477,0.0,0.0,Unknown,2020,2020,0
CENTRAL FREIGHT LINES,4,4,673,1.0,0.0,Logistics_Transportation,2021,2021,0
PAPER SOURCE,4,4,42,2.0,0.0,Manufacturing,2020,2020,0
TEXAS CENTRAL SCHOOL BUS,4,3,769,76.7,100.0,Public_Nonprofit,2020,2025,5
VSPONE DALLAS,4,4,231,46.0,50.0,Healthcare,2020,2024,4
ZACHRY INDUSTRIAL UPDATED,4,4,126,46.5,75.0,Construction_Real_Estate,2024,2024,0
FIRST BRANDS GROUP,4,3,658,57.0,0.0,Manufacturing,2026,2026,0
HMS HOST,4,1,540,64.0,100.0,Retail_Food,2020,2024,4
GULFMARK ENERGY,4,4,46,13.0,0.0,Energy,2023,2023,0
META PLATFORMS,4,4,222,58.0,0.0,Technology_IT,2022,2022,0
