NOTICE_DATE,JOB_SITE_NAME,COUNTY_NAME,WDA_NAME,LayOff_Date,WFDD_RECEIVED_DATE,CITY_NAME,flag_year_typo,flag_retroactive,flag_valid,lead_days,lead_days_short,layoff_count,company_normalized,same_company_cluster,county_warn_count,wda_warn_count,notice_year,notice_quarter,notice_month,industry_score,industry_final,industry_source
2022-01-28,Amentum,Bowie,North East Texas WDA,2022-03-27,2022-01-28,New Boston,0,0,1,58,1,178,AMENTUM,1,9,21,2022,2022Q1,2022-01,0,Unknown,unresolved
2022-01-06,"Stearns Lending, LLC - Corporate Dr.",Denton,North Central Texas WDA,2022-03-13,2022-01-06,Lewisville,0,0,1,66,0,348,STEARNS LENDING,0,56,185,2022,2022Q1,2022-01,12,Finance,stage1
2021-12-16,"Monitronics International, Inc. dba Brinks Home",Dallas,Dallas County WDA,2021-12-17,2021-12-20,Dallas,0,0,1,1,1,42,MONITRONICS INTERNATIONAL BRINKS HOME,1,330,325,2021,2021Q4,2021-12,0,Unknown,unresolved
2021-12-13,Central Freight Lines - San Antonio,Bexar,Alamo WDA,2021-12-17,2021-12-16,San Antonio,0,0,1,4,1,66,CENTRAL FREIGHT LINES,1,200,238,2021,2021Q4,2021-12,12,Logistics_Transportation,stage1
2021-12-13,Central Freight Lines,McLennan,Heart of Texas WDA,2021-12-13,2021-12-16,Waco,0,0,1,0,1,153,CENTRAL FREIGHT LINES,1,24,34,2021,2021Q4,2021-12,12,Logistics_Transportation,stage1
2021-12-13,Central Freight Lines - Houston,Harris,Gulf Coast WDA,2021-12-13,2021-12-16,Houston,0,0,1,0,1,162,CENTRAL FREIGHT LINES,1,429,608,2021,2021Q4,2021-12,12,Logistics_Transportation,stage1
2021-12-13,"Central Freight Lines, Inc.",Tarrant,Tarrant County WDA,2021-12-13,2021-12-16,Ft. Worth,0,0,1,0,1,292,CENTRAL FREIGHT LINES,1,207,213,2021,2021Q4,2021-12,12,Logistics_Transportation,stage1
2021-12-06,"Change Healthcare Operations, LLC",Hunt,North Central WDA,2022-02-04,2021-12-06,Greenville,0,0,1,60,0,145,CHANGE HEALTHCARE OPERATIONS,0,4,1,2021,2021Q4,2021-12,4,Healthcare,stage1
2021-11-30,Laredo Transit Management-El Metro Transit,Webb,South Texas WDA,2022-01-31,2021-12-02,Laredo,0,0,1,62,0,168,LAREDO TRANSIT MANAGEMENT-EL METRO TRANSIT,0,17,17,2021,2021Q4,2021-11,2,Logistics_Transportation,stage1
2021-11-23,"Marshal S. Frumin, M.D.",Fort Bend,Gulf Coast WDA,2021-12-31,2021-12-02,Sugar Land,0,0,1,38,1,6,MARSHAL S FRUMIN M D,0,88,608,2021,2021Q4,2021-11,0,Unknown,unresolved
2021-11-13,Cypress Creek Emergency Medical Services,Montgomery,Gulf Coast WDA,2021-11-13,2021-11-23,Spring,0,0,1,0,1,102,CYPRESS CREEK EMERGENCY MEDICAL SERVICES,0,42,608,2021,2021Q4,2021-11,2,Healthcare,stage1
2021-11-04,Zillow Group,Dallas,Dallas County WDA,2022-01-03,2021-11-04,Coppell,0,0,1,60,0,32,ZILLOW GROUP,1,330,325,2021,2021Q4,2021-11,6,Technology_IT,stage1
2021-11-04,YMCA - Waco,McLennan,Heart of Texas WDA,2021-12-31,2021-11-04,Waco,0,0,1,57,1,127,YMCA,1,24,34,2021,2021Q4,2021-11,2,Public_Nonprofit,stage1
2021-10-29,"Odle Management Group, LLC",El Paso,Borderplexjobs WDA,2021-10-25,2021-10-29,El Paso,0,1,0,,,134,ODLE MANAGEMENT GROUP,0,49,51,2021,2021Q4,2021-10,0,Unknown,unresolved
